transaction_id,account_id,timestamp,asset,amount,amount_usd,transaction_type,source_wallet,destination_wallet,device_id,ip_country,account_age_days,ground_truth_label,anomaly_type
TX-0000933,ACC-00032,2025-01-01T06:00:00+00:00,ETH,0.11117594,333.53,trade,WALLET-ACC-00032,EXTERNAL-OUT,DEV-00032-A,JP,289,0,normal
TX-0000481,ACC-00017,2025-01-01T06:15:00+00:00,BTC,0.01006037,603.62,withdrawal,WALLET-ACC-00017,CP-ACC-00017-01,DEV-00017-A,JP,666,0,normal
TX-0000542,ACC-00019,2025-01-01T06:28:00+00:00,BTC,0.00549002,329.4,deposit,CP-ACC-00019-04,WALLET-ACC-00019,DEV-00019-A,US,1280,0,normal
TX-0000091,ACC-00004,2025-01-01T07:03:00+00:00,BTC,0.01045525,627.31,transfer_in,CP-ACC-00004-03,WALLET-ACC-00004,DEV-00004-A,US,1214,0,normal
TX-0000781,ACC-00027,2025-01-01T07:20:00+00:00,ETH,0.30475054,914.25,trade,WALLET-ACC-00027,EXTERNAL-OUT,DEV-00027-A,JP,1200,0,normal
TX-0000571,ACC-00020,2025-01-01T08:03:00+00:00,ETH,0.08751068,262.53,transfer_in,CP-ACC-00020-01,WALLET-ACC-00020,DEV-00020-A,DE,504,0,normal
TX-0000452,ACC-00016,2025-01-01T08:30:00+00:00,ETH,0.1884789,565.44,trade,WALLET-ACC-00016,EXTERNAL-OUT,DEV-00016-A,TW,694,0,normal
TX-0000901,ACC-00031,2025-01-01T09:07:00+00:00,USDT,550.64408086,550.64,transfer_out,WALLET-ACC-00031,CP-ACC-00031-02,DEV-00031-A,TW,332,0,normal
TX-0000931,ACC-00032,2025-01-01T09:13:00+00:00,USDT,402.91421731,402.91,deposit,CP-ACC-00032-05,WALLET-ACC-00032,DEV-00032-A,JP,289,0,normal
TX-0000151,ACC-00006,2025-01-01T09:27:00+00:00,USDT,1620.98676778,1620.99,deposit,CP-ACC-00006-05,WALLET-ACC-00006,DEV-00006-B,TW,712,0,normal
TX-0000541,ACC-00019,2025-01-01T10:24:00+00:00,ETH,0.11186593,335.6,transfer_out,WALLET-ACC-00019,CP-ACC-00019-05,DEV-00019-A,US,1280,0,normal
TX-0001261,ACC-00043,2025-01-01T11:01:00+00:00,USDC,977.38903817,977.39,transfer_in,CP-ACC-00043-01,WALLET-ACC-00043,DEV-00043-B,SG,1396,0,normal
TX-0001741,ACC-00059,2025-01-01T11:55:00+00:00,ETH,0.09275662,278.27,trade,WALLET-ACC-00059,EXTERNAL-OUT,DEV-00059-A,US,1088,0,normal
TX-0001471,ACC-00050,2025-01-01T12:45:00+00:00,BTC,0.00514074,308.44,trade,WALLET-ACC-00050,EXTERNAL-OUT,DEV-00050-A,DE,284,0,normal
TX-0000631,ACC-00022,2025-01-01T12:46:00+00:00,ETH,0.15100417,453.01,deposit,CP-ACC-00022-04,WALLET-ACC-00022,DEV-00022-A,JP,468,0,normal
TX-0001051,ACC-00036,2025-01-01T13:50:00+00:00,USDC,459.87795423,459.88,deposit,CP-ACC-00036-01,WALLET-ACC-00036,DEV-00036-A,TW,1534,0,normal
TX-0001201,ACC-00041,2025-01-01T13:57:00+00:00,USDT,257.53378216,257.53,transfer_out,WALLET-ACC-00041,CP-ACC-00041-03,DEV-00041-A,TW,556,0,normal
TX-0001231,ACC-00042,2025-01-01T14:29:00+00:00,USDT,730.83850848,730.84,withdrawal,WALLET-ACC-00042,CP-ACC-00042-01,DEV-00042-B,JP,870,0,normal
TX-0000932,ACC-00032,2025-01-01T14:39:00+00:00,ETH,0.07733892,232.02,withdrawal,WALLET-ACC-00032,CP-ACC-00032-01,DEV-00032-A,JP,289,0,normal
TX-0001442,ACC-00049,2025-01-01T14:58:00+00:00,ETH,0.3008253,902.48,trade,WALLET-ACC-00049,EXTERNAL-OUT,DEV-00049-A,US,385,0,normal
TX-0000451,ACC-00016,2025-01-01T15:17:00+00:00,BTC,0.0072142,432.85,transfer_in,CP-ACC-00016-04,WALLET-ACC-00016,DEV-00016-A,TW,694,0,normal
TX-0001621,ACC-00055,2025-01-01T15:21:00+00:00,USDT,213.39381348,213.39,transfer_out,WALLET-ACC-00055,CP-ACC-00055-02,DEV-00055-B,DE,1372,0,normal
TX-0000602,ACC-00021,2025-01-01T15:48:00+00:00,USDT,395.36466669,395.36,transfer_out,WALLET-ACC-00021,CP-ACC-00021-05,DEV-00021-A,TW,949,0,normal
TX-0000361,ACC-00013,2025-01-01T16:15:00+00:00,USDT,577.91893312,577.92,trade,WALLET-ACC-00013,EXTERNAL-OUT,DEV-00013-A,SG,472,0,normal
TX-0000991,ACC-00034,2025-01-01T17:18:00+00:00,ETH,0.10795793,323.87,deposit,CP-ACC-00034-03,WALLET-ACC-00034,DEV-00034-B,US,1007,0,normal
TX-0001441,ACC-00049,2025-01-01T17:42:00+00:00,USDC,532.94556901,532.95,deposit,CP-ACC-00049-01,WALLET-ACC-00049,DEV-00049-A,US,385,0,normal
TX-0001321,ACC-00045,2025-01-01T18:26:00+00:00,USDT,284.75155567,284.75,trade,WALLET-ACC-00045,EXTERNAL-OUT,DEV-00045-A,DE,348,0,normal
TX-0000601,ACC-00021,2025-01-01T18:27:00+00:00,BTC,0.02147525,1288.51,deposit,CP-ACC-00021-04,WALLET-ACC-00021,DEV-00021-A,TW,949,0,normal
TX-0001591,ACC-00054,2025-01-01T19:08:00+00:00,ETH,0.28433789,853.01,trade,WALLET-ACC-00054,EXTERNAL-OUT,DEV-00054-A,US,234,0,normal
TX-0001381,ACC-00047,2025-01-01T20:12:00+00:00,USDT,671.10130229,671.1,transfer_out,WALLET-ACC-00047,CP-ACC-00047-03,DEV-00047-A,JP,694,0,normal
TX-0000632,ACC-00022,2025-01-01T20:23:00+00:00,USDT,1530.74001037,1530.74,transfer_out,WALLET-ACC-00022,CP-ACC-00022-05,DEV-00022-A,JP,468,0,normal
TX-0000181,ACC-00007,2025-01-01T20:37:00+00:00,USDT,1008.88314826,1008.88,deposit,CP-ACC-00007-02,WALLET-ACC-00007,DEV-00007-A,JP,1304,0,normal
TX-0000032,ACC-00002,2025-01-02T06:16:00+00:00,USDT,899.89982663,899.9,withdrawal,WALLET-ACC-00002,CP-ACC-00002-03,DEV-00002-A,JP,980,0,normal
TX-0001141,ACC-00039,2025-01-02T06:20:00+00:00,ETH,0.17400058,522.0,trade,WALLET-ACC-00039,EXTERNAL-OUT,DEV-00039-A,US,332,0,normal
TX-0000121,ACC-00005,2025-01-02T06:22:00+00:00,BTC,0.01267483,760.49,withdrawal,WALLET-ACC-00005,CP-ACC-00005-04,DEV-00005-A,DE,1075,0,normal
TX-0001622,ACC-00055,2025-01-02T07:03:00+00:00,USDT,88.23877531,88.24,withdrawal,WALLET-ACC-00055,CP-ACC-00055-04,DEV-00055-A,DE,1372,0,normal
TX-0001081,ACC-00037,2025-01-02T09:22:00+00:00,USDT,734.16544189,734.17,transfer_out,WALLET-ACC-00037,CP-ACC-00037-01,DEV-00037-A,JP,817,0,normal
